feature,mean_abs_shap
employment_status,1.1878463140325264
debt_to_income_ratio,0.6252289271159421
credit_score,0.615699878955184
grade_subgrade,0.2316440867317592
dti_interest_risk,0.2169037890675495
annual_income,0.1129952055028322
loan_amount,0.1127229805937345
low_credit_score_flag,0.0832885201172697
interest_rate,0.0708883990209692
education_level,0.0502996947526127
loan_purpose,0.0410944262818602
loan_to_income_ratio,0.0399968199970331
interest_burden,0.0322574827633271
gender,0.0221032081857148
marital_status,0.0193757377136193
